üniversite_adı,ülke,öğretim,uluslararası,araştırma,atıflar,gelir,toplam_puan,öğrenci_sayısı,öğrenci_personel_oranı,uluslararası_öğrenciler,yıl,kadın_oranı,erkek_oranı
Pennsylvania State University,United States of America,46.3,19.9,49.2,77.6,44.0,56.0,44501,12.4,0.12,2011,0.46,0.54
Seoul National University,South Korea,62.3,44.9,54.1,54.6,43.0,56.0,26389,13.9,0.1,2011,0.5,0.5
Hong Kong Baptist University,Hong Kong,32.9,71.8,32.5,97.6,26.7,55.6,10441,11.0,0.25,2011,0.61,0.39
Tokyo Institute of Technology,Japan,62.9,24.8,63.4,45.5,60.5,55.4,9586,7.3,0.13,2011,0.13,0.87
Eindhoven University of Technology,Netherlands,55.4,44.9,51.7,56.9,99.8,55.3,8176,16.0,0.14,2011,0.19,0.81
National Taiwan University,Taiwan,50.3,29.2,59.0,61.6,35.7,55.2,31891,11.9,0.07,2011,0.39,0.61
"University of California, Riverside",United States of America,38.6,63.0,47.4,78.3,30.5,55.1,20626,22.0,0.12,2011,0.51,0.49
University of Geneva,Switzerland,46.6,95.7,49.7,63.1,32.7,55.0,15668,15.0,0.39,2011,0.61,0.39
KU Leuven,Belgium,57.7,29.6,62.9,45.2,97.7,54.8,42503,41.9,0.18,2011,0.54,0.46
Nanjing University,China,52.2,50.2,46.2,66.0,43.4,54.6,29743,13.3,0.1,2011,0.46,0.54
Queen Mary University of London,United Kingdom,39.7,91.0,44.1,73.5,38.9,54.6,14260,14.0,0.4,2011,0.52,0.48
Michigan State University,United States of America,50.4,30.4,52.7,63.7,49.032975986277876,54.5,44750,15.7,0.15,2011,0.51,0.49
Technical University of Denmark,Denmark,46.2,64.0,46.9,64.6,95.5,54.5,9990,5.0,0.18,2011,0.27,0.73
Ghent University,Belgium,52.8,24.7,59.1,52.8,97.1,54.4,32166,34.1,0.09,2011,0.57,0.43
Lancaster University,United Kingdom,43.5,73.8,41.9,74.9,28.8,54.4,11512,14.9,0.33,2011,0.52,0.48
Leiden University,Netherlands,47.3,40.0,54.9,59.3,100.0,54.4,21222,17.1,0.1,2011,0.59,0.41
University of Alberta,Canada,53.7,71.6,58.0,49.7,44.5,54.3,36299,21.6,0.23,2011,0.55,0.45
University of Glasgow,United Kingdom,45.6,55.1,50.3,65.1,61.0,54.2,22616,16.0,0.29,2011,0.57,0.43
Stockholm University,Sweden,36.9,52.17053006329113,49.2,75.9,31.7,54.0,31715,23.7,0.08,2011,0.62,0.38
Osaka University,Japan,61.7,20.1,63.4,40.0,73.4,53.4,23144,7.8,0.09,2011,0.31,0.69
University of Victoria,Canada,32.9,52.17053006329113,48.3,79.1,27.4,53.4,17581,21.5,0.11,2011,0.56,0.44
Tohoku University,Japan,60.3,20.1,62.5,41.2,82.3,53.3,17200,5.0,0.07,2011,0.25,0.75
University of Freiburg,Germany,52.4,46.2,41.4,64.3,79.8,53.3,26467,31.2,0.16,2011,0.52,0.48
University of Iowa,United States of America,48.6,31.7,59.8,54.8,49.032975986277876,53.3,27526,11.6,0.11,2011,0.52,0.48
University of Bergen,Norway,39.9,66.6,42.1,73.1,41.5,52.7,11623,11.1,0.12,2011,0.6,0.4
University of Lausanne,Switzerland,43.1,84.1,50.5,59.1,42.5,52.6,11964,13.1,0.22,2011,0.5,0.5
University of Sheffield,United Kingdom,48.9,62.7,49.2,58.4,40.3,52.5,23311,15.5,0.31,2011,0.5,0.5
University of Montreal,Canada,56.1,52.17053006329113,49.4,51.9,49.032975986277876,52.4,38264,20.3,0.25,2011,0.57,0.43
VU University Amsterdam,Netherlands,47.6,30.6,51.6,58.5,81.4,52.3,23280,16.3,0.06,2011,0.56,0.44
Pierre and Marie Curie University,France,51.9,30.7,37.2,71.5,26.4,52.2,27862,8.7,0.18,2011,0.48,0.52
University of Dundee,United Kingdom,34.1,54.4,41.0,79.3,49.3,52.2,11628,15.3,0.25,2011,0.6,0.4
University of Barcelona,Spain,34.1,22.3,33.7,91.9,30.0,52.1,47491,12.2,0.1,2011,0.62,0.38
Utrecht University,Netherlands,43.4,52.6,53.0,58.8,55.3,52.0,30779,15.4,0.07,2011,0.59,0.41
Wageningen University and Research Center,Netherlands,58.5,24.3,48.8,53.0,49.032975986277876,51.9,9248,17.0,0.21,2011,0.56,0.44
University of Auckland,New Zealand,34.8,94.3,39.2,71.8,61.1,51.8,29787,18.9,0.28,2011,0.54,0.46
University of Birmingham,United Kingdom,50.3,73.8,50.7,52.1,34.8,51.8,25295,16.4,0.23,2011,0.54,0.46
Alexandria University,Egypt,29.5,19.3,28.0,99.8,36.0,51.6,127431,23.3,0.01,2011,0.46,0.54
Uppsala University,Sweden,49.6,77.9,62.2,40.7,39.5,51.6,25266,18.2,0.12,2011,0.57,0.43
Hong Kong Polytechnic University,Hong Kong,39.4,82.9,45.7,62.4,57.2,51.4,22064,25.9,0.26,2011,0.51,0.49
University of Aberdeen,United Kingdom,37.8,86.1,45.2,64.6,47.0,51.4,12938,15.8,0.33,2011,0.54,0.46
Delft University of Technology,Netherlands,55.5,47.4,67.7,29.0,99.4,51.3,15920,19.4,0.25,2011,0.26,0.74
"Birkbeck, University of London",United Kingdom,41.2,88.5,35.8,70.6,27.4,51.2,9454,17.2,0.38,2011,0.55,0.45
Newcastle University,United Kingdom,42.7,80.5,42.8,63.6,31.1,51.2,20174,15.2,0.29,2011,0.5,0.5
University of New South Wales,Australia,49.5,70.7,48.9,51.2,60.0,51.2,38309,25.9,0.33,2011,0.47,0.53
Pompeu Fabra University,Spain,35.0,44.1,33.0,84.7,40.0,51.1,10901,18.3,0.13,2011,0.59,0.41
Indiana University,United States of America,48.5,37.7,42.5,63.2,49.032975986277876,51.0,62468,13.6,0.13,2011,0.53,0.47
Iowa State University,United States of America,49.3,23.2,49.6,58.2,49.6,51.0,29991,17.4,0.11,2011,0.44,0.56
Erasmus University Rotterdam,Netherlands,39.4,58.6,43.6,65.5,49.032975986277876,50.4,20580,18.9,0.18,2011,0.48,0.52
University of Delaware,United States of America,38.4,16.8,51.9,61.3,100.0,50.4,19262,15.9,0.1,2011,0.56,0.44
Arizona State University,United States of America,43.0,24.1,44.1,66.9,49.032975986277876,50.3,83236,29.9,0.09,2011,0.5,0.5
Boston College,United States of America,40.1,31.6,33.6,78.0,49.032975986277876,50.3,13216,17.4,0.19,2011,0.54,0.46
National Sun Yat-Sen University,Taiwan,46.1,21.3,50.6,58.9,37.5,50.2,9336,19.6,0.04,2011,0.37,0.63
Georgetown University,United States of America,65.1,24.7,44.7,45.0,49.032975986277876,50.1,15408,8.5,0.14,2011,0.53,0.47
University of Amsterdam,Netherlands,42.5,38.2,49.2,60.2,38.8,50.0,24570,14.4,0.11,2011,0.53,0.47
University of Liverpool,United Kingdom,40.8,59.8,47.8,59.6,40.6,50.0,18815,13.6,0.3,2011,0.52,0.48
Aarhus University,Denmark,38.1,33.4,55.6,57.3,61.5,49.9,23895,13.6,0.14,2011,0.54,0.46
University of Leeds,United Kingdom,46.2,50.0,48.0,55.6,38.3,49.8,27703,14.7,0.21,2011,0.58,0.42
University of Würzburg,Germany,48.7,40.3,40.9,60.4,49.032975986277876,49.8,26576,38.4,0.08,2011,0.57,0.43
University of Groningen,Netherlands,41.7,35.5,56.4,54.1,34.2,49.7,24556,25.6,0.12,2011,0.52,0.48
Sun Yat-sen University,China,46.2,29.3,34.7,70.2,41.2,49.6,51351,16.6,0.08,2011,0.51,0.49
Goethe University Frankfurt,Germany,39.2,56.1,37.3,69.5,41.6,49.4,31861,9.3,0.15,2011,0.6,0.4
Bielefeld University,Germany,39.9,52.17053006329113,35.7,70.4,49.032975986277876,49.3,21428,67.8,0.08,2011,0.57,0.43
Nanyang Technological University,Singapore,43.6,96.3,51.7,45.0,40.0,49.0,25028,16.2,0.33,2011,0.48,0.52
University of East Anglia,United Kingdom,42.1,62.8,40.4,62.8,29.7,49.0,14992,14.7,0.28,2011,0.58,0.42
University of Nottingham,United Kingdom,46.8,74.8,44.1,52.5,38.4,49.0,30144,15.0,0.27,2011,0.54,0.46
University of Copenhagen,Denmark,44.1,45.8,45.7,58.3,26.1,48.8,27545,4.1,0.19,2011,0.67,0.33
Humboldt University of Berlin,Germany,50.9,46.1,44.5,52.0,27.8,48.5,29987,52.5,0.16,2011,0.5,0.5
Monash University,Australia,39.4,87.1,38.8,60.5,40.8,48.5,50882,40.5,0.36,2011,0.56,0.44
University of Bonn,Germany,46.8,46.8,33.8,65.3,29.4,48.5,32474,70.4,0.13,2011,0.55,0.45
National Chiao Tung University,Taiwan,53.2,57.9,54.4,32.9,98.7,48.3,12646,16.6,0.05,2011,0.27,0.73
RWTH Aachen University,Germany,50.0,63.8,42.5,48.9,56.6,48.2,37917,27.6,0.16,2011,0.31,0.69
Middle East Technical University,Turkey,39.5,27.2,39.5,66.4,43.9,47.7,25779,22.2,0.07,2011,0.44,0.56
University of Exeter,United Kingdom,40.4,62.8,42.5,57.9,32.2,47.6,17755,18.8,0.28,2011,0.54,0.46
University of Twente,Netherlands,49.9,62.4,48.3,42.0,49.8,47.5,6631,12.0,0.26,2011,0.37,0.63
University of Konstanz,Germany,42.7,93.6,40.1,51.3,49.032975986277876,47.3,10930,59.1,0.12,2011,0.54,0.46
Karlsruhe Institute of Technology,Germany,45.0,47.3,35.4,60.7,40.0,47.2,25294,24.6,0.16,2011,0.26,0.74
University of Innsbruck,Austria,37.9,99.5,34.8,60.2,35.0,47.2,18209,16.9,0.39,2011,0.54,0.46
University of Tübingen,Germany,45.9,57.8,36.3,57.3,32.3,47.0,28327,38.9,0.12,2011,0.58,0.42
Drexel University,United States of America,45.0,60.6,35.9,58.2,27.4,46.9,20713,10.8,0.18,2011,0.48,0.52
University of Cincinnati,United States of America,43.6,18.9,40.4,61.5,32.5,46.9,36108,15.7,0.06,2011,0.54,0.46
Yonsei University,South Korea,43.0,28.0,48.7,52.2,40.4,46.9,24774,11.6,0.14,2011,0.5,0.5
Dalhousie University,Canada,41.6,44.9,50.2,48.8,49.032975986277876,46.8,15064,14.4,0.18,2011,0.55,0.45
KTH Royal Institute of Technology,Sweden,49.1,64.2,56.2,29.2,100.0,46.8,12062,14.6,0.21,2011,0.3,0.7
University of Vienna,Austria,47.6,63.2,45.7,45.6,27.0,46.7,34651,20.5,0.25,2011,0.67,0.33
Kent State University,United States of America,33.5,15.9,33.3,76.8,26.3,46.5,23122,19.0,0.08,2011,0.58,0.42
University of Illinois at Chicago,United States of America,57.8,51.8,46.8,34.7,49.032975986277876,46.4,24313,9.2,0.17,2011,0.53,0.47
Zhejiang University,China,54.6,29.6,41.3,44.3,70.3,46.4,47508,15.9,0.05,2011,0.41,0.59
Simon Fraser University,Canada,32.9,51.9,44.2,60.2,37.9,46.2,26640,28.3,0.19,2011,0.55,0.45
California Institute of Technology,United States of America,95.7,56.0,98.2,99.9,97.0,94.8,2243,6.9,0.27,2012,0.33,0.67
Harvard University,United States of America,95.8,67.5,97.4,99.8,35.9,93.9,20152,8.9,0.25,2012,0.5,0.5
Stanford University,United States of America,94.8,57.2,98.9,99.8,63.8,93.9,15596,7.8,0.22,2012,0.42,0.58
University of Oxford,United Kingdom,89.5,91.9,96.6,97.9,62.1,93.6,19919,11.6,0.34,2012,0.46,0.54
Princeton University,United States of America,91.5,49.6,99.1,100.0,81.0,92.9,7929,8.4,0.27,2012,0.45,0.55
University of Cambridge,United Kingdom,90.5,85.3,94.2,97.3,55.5,92.4,18812,11.8,0.34,2012,0.46,0.54
Massachusetts Institute of Technology,United States of America,92.7,79.2,87.4,100.0,94.4,92.3,11074,9.0,0.33,2012,0.37,0.63
Imperial College London,United Kingdom,88.8,92.2,88.7,93.9,93.1,90.7,15060,11.7,0.51,2012,0.37,0.63
University of Chicago,United States of America,89.4,58.8,90.8,99.4,49.032975986277876,90.2,14221,6.9,0.21,2012,0.42,0.58
"University of California, Berkeley",United States of America,82.8,50.4,99.4,99.4,62.5,89.8,36186,16.4,0.15,2012,0.5,0.5
Yale University,United States of America,92.3,55.5,91.2,96.7,34.7,89.1,11751,4.4,0.2,2012,0.5,0.5
Columbia University,United States of America,89.1,67.6,81.8,97.8,49.032975986277876,87.5,25055,5.9,0.28,2012,0.5,0.5
"University of California, Los Angeles",United States of America,85.9,41.0,92.5,97.3,49.032975986277876,87.3,38206,10.3,0.15,2012,0.52,0.48
Johns Hopkins University,United States of America,78.9,59.9,86.5,97.3,100.0,85.8,15128,3.6,0.23,2012,0.5,0.5
ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,79.1,97.5,85.8,87.2,49.032975986277876,85.0,18178,14.7,0.37,2012,0.31,0.69
University of Pennsylvania,United States of America,87.0,34.3,86.1,97.9,41.9,84.9,20376,6.5,0.2,2012,0.51,0.49
University College London,United Kingdom,77.8,91.8,84.3,89.0,41.4,83.2,26607,10.7,0.46,2012,0.56,0.44
University of Michigan,United States of America,75.4,47.2,90.0,94.3,53.3,82.8,41786,9.0,0.16,2012,0.48,0.52
University of Toronto,Canada,76.9,69.0,87.4,86.5,44.9,81.6,66198,19.5,0.15,2012,0.5,0.5
Cornell University,United States of America,70.4,53.4,87.2,93.5,49.032975986277876,80.5,21424,10.2,0.19,2012,0.48,0.52
Carnegie Mellon University,United States of America,65.7,55.0,79.5,97.4,60.7,78.4,11885,13.1,0.35,2012,0.39,0.61
Duke University,United States of America,62.6,46.9,77.9,97.4,100.0,77.4,15172,4.8,0.17,2012,0.49,0.51
University of British Columbia,Canada,68.6,88.7,78.6,85.2,40.6,77.4,50152,17.6,0.25,2012,0.54,0.46
Georgia Institute of Technology,United States of America,66.6,65.0,73.8,91.9,99.2,77.0,19967,20.1,0.26,2012,0.31,0.69
University of Washington,United States of America,70.8,36.9,74.0,98.2,31.8,76.5,44020,11.8,0.13,2012,0.53,0.47
